id,Партія,Область,Місцева організація,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Олександрійська міська організація,24717116,"28000, Кіровоградська обл., місто Олександрія, ПРОСПЕКТ ЛЕНІНА, будинок 79, квартира 46","28000, Кіровоградська обл., місто Олександрія, вул. Свердлова, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Олександрійська районна організація,25812963,"28008, Кіровоградська обл., місто Олександрія, ВУЛИЦЯ ДНІПРОВСЬКА, будинок 2, квартира 66","28008, Кіровоградська обл., місто Олександрія, вул. Свердлова, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Онуфріївська районна організація,25812940,"28100, Кіровоградська обл., Онуфріївський район, смт. Онуфріївка, вул. 50 років Жовтня, буд. 27","28100, Кіровоградська обл., Онуфріївський район, смт. Онуфріївка, вул. 50 років Жовтня, буд. 27",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Оратівська районна організація,36684877,"22600, Вінницька обл., Оратівський район, селище міського типу Оратів, ВУЛИЦЯ ЛЕНІНА, будинок 95","22600, Вінницька обл., Оратівський район, селище міського типу Оратів, ВУЛИЦЯ ЛЕНІНА, будинок 95",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Орджонікідзевська районна організація,25860672,"61115, Харківська обл., місто Харків, ВУЛИЦЯ СОКОЛОВА, будинок 3, кімната 26/2","61174, Харківська обл., місто Харків, пр-т Архітектора Альошина, будинок 24",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Оржицька районна організація,25913227,"37700, Полтавська обл., Оржицький р-н, смт Оржиця, вул. Радянська, буд. 35","37700, Полтавська обл., Оржицький р-н, смт Оржиця, вул. Радянська, буд. 35",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Острозька міська організація,25930303,"35800, Рівненська обл., м.Острог, вул.Татарська,1","35800, Рівненська обл., м.Острог, вул.Татарська,1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Острозька районна організація,25930349,"35800, Рівненська обл., місто Острог, ВУЛИЦЯ ТАТАРСЬКА, будинок 1","35800, Рівненська обл., місто Острог, ВУЛИЦЯ ТАТАРСЬКА, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Охтирська міська організація,24016891,"42700, Сумська обл., місто Охтирка, ПРОВУЛОК ХАРКІВСЬКИЙ, будинок 10, квартира 6","42700, Сумська обл., місто Охтирка, вул. Незалежності, будинок 12","ПАТ КБ ""Приватбанк"" МФО 337546, р/р 26004055015693"
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Охтирська районна організація,24015868,"42700, Сумська обл., місто Охтирка, ВУЛИЦЯ ШЕВЧЕНКА, будинок 3, корпус А","42700, Сумська обл., місто Охтирка, вул. Нежалежності, будинок 12","ПАТ КБ ""Приватбанк"", МФО 337546, р/р 26003055016057"
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Очаківська міська організація,33964261,"57500, Миколаївська обл., місто Очаків, ВУЛИЦЯ МИРУ, будинок 6","57500, Миколаївська обл., місто Очаків, ВУЛИЦЯ МИРУ, будинок 6",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Очаківська районна організація,26029248,"57500, Миколаївська обл., місто Очаків, ВУЛИЦЯ СУВОРОВА, будинок 20","57500, Миколаївська обл., місто Очаків, ВУЛИЦЯ СУВОРОВА, будинок 20",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,П'ятихатська міська організація,34894253,"52100, Дніпропетровська обл., П'ятихатський район, місто П'ятихатки, ВУЛ. МАМОНА, будинок 119","52100, Дніпропетровська обл., П'ятихатський район, місто П'ятихатки, ВУЛ. МАМОНА, будинок 119",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,П'ятихатська районна організація,25819103,"52100, Дніпропетровська обл., П'ятихатський район, місто П'ятихатки, ВУЛ. МАМОНА, будинок 119","52100, Дніпропетровська обл., П'ятихатський район, місто П'ятихатки, ВУЛ. МАМОНА, будинок 119",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Павлоградська міська організація,25914043,"51400, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ ГОРЬКОГО , будинок 166, корпус 3, кімната 101","51400, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ ГОРЬКОГО , будинок 166, корпус 3, кімната 101","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26007050256480"
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Павлоградська районна організація,26050587,"51400, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ ПОЛТАВСЬКА, будинок 144","51400, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ ПОЛТАВСЬКА, будинок 144",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Первомайська міська організація,26029254,"55200, Миколаївська обл., місто Первомайськ, ВУЛИЦЯ РЕВОЛЮЦІЇ, будинок 7А","55200, Миколаївська обл., місто Первомайськ, вул. Революції, будинок 7А",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Первомайська міська організація,25863073,"64107, Харківська обл., місто Первомайський, ВУЛИЦЯ БУГАЙЧЕНКО, будинок 25, кімната 28","64107, Харківська обл., місто Первомайський, ВУЛИЦЯ БУГАЙЧЕНКО, будинок 25, кімната 28",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Первомайська районна організація,36200653,"55231, Миколаївська обл., Первомайський район, селище Кам'яний Міст, ВУЛИЦЯ ГОРЬКОГО, будинок 21","55231, Миколаївська обл., Первомайський район, селище Кам'яний Міст, ВУЛИЦЯ ГОРЬКОГО, будинок 21",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Первомайська районна організація,25863104,"64102, Харківська обл., місто Первомайський, ВУЛИЦЯ БУГАЙЧЕНКО, будинок 25, кімната 30","64102, Харківська обл., місто Первомайський, ВУЛИЦЯ БУГАЙЧЕНКО, будинок 25, кімната 30",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Перемишлянська районна організація,25258981,"81200, Львівська обл., Перемишлянський район, місто Перемишляни, вул.Нова, буд.8","81200, Львівська обл., Перемишлянський район, місто Перемишляни, вул.Нова, буд.8",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Переяслав-Хмельницька міська організація,25951191,"08400, Київська обл., місто Переяслав-Хмельницький, вул. Підвальна, будинок 30","08400, Київська обл., місто Переяслав-Хмельницький, вул. Підвальна, будинок 30",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Переяслав-Хмельницька районна організація,25951203,"08400, Київська обл., м. Переяслав-Хмельницький, вул. Фабрична, будинок 1",—,—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Першотравенська міська організація,34357170,"52800, Дніпропетровська обл., місто Першотравенськ, ВУЛ. ЧАЙКОВСЬКОГО, будинок 17, квартира 62","52800, Дніпропетровська обл., місто Першотравенськ, ВУЛ. ЧАЙКОВСЬКОГО, будинок 17, квартира 62","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26004050322210"
,"Всеукраїнське об'єднання ""Батьківщина""",Чернівецька область,Першотравнева районна організація,21444764,"58000, Чернівецька обл., місто Чернівці, ВУЛ. ГОЛОВНА, будинок 22","58000, Чернівецька обл., місто Чернівці, ВУЛ. ГОЛОВНА, будинок 22",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Петриківська районна організація,25914072,"51800, Дніпропетровська обл., Петриківський район, селище міського типу Петриківка, ВУЛИЦЯ ПІОНЕРСЬКА, будинок 4","51800, Дніпропетровська обл., Петриківський район, селище міського типу Петриківка, пр-т Петра Калнишевського, будинок 73-Б","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26002050281483"
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Петрівська районна організація,25812934,"28300, Кіровоградська обл., Петрівський район, смт.Петрове, вул.Літвінова, буд .10","28300, Кіровоградська обл., Петрівський район, смт.Петрове, вул.Літвінова, буд .10",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Петропавлівська районна організація,25914089,"52721, Дніпропетровська обл., Петропавлівський район, село Вереміївка, ВУЛИЦЯ СУВОРОВА, будинок 13","52721, Дніпропетровська обл., Петропавлівський район, село Вереміївка, ВУЛИЦЯ СУВОРОВА, будинок 13",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Печенізька районна організація,25863088,"62801, Харківська обл., Печенізький район, селище міського типу Печеніги, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 20, квартира 11","62801, Харківська обл., Печенізький район, селище міського типу Печеніги, 1 Травня, будинок 26",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київ,Печерська районна організація,21715915,"01103, м.Київ, вул. Івана Кудрі, 30","01103, м.Київ, вул. Івана Кудрі, 30",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Пирятинська районна організація,25913084,"37044, Полтавська обл., Пирятинський район, село Вікторія, пров. Миру, будинок 3","37044, Полтавська обл., Пирятинський район, село Вікторія, пров. Миру, будинок 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Південна районна організація,25956774,"51931, Дніпропетровська обл., місто Кам'янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","51931, Дніпропетровська обл., місто Кам'янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26003050273177"
,"Всеукраїнське об'єднання ""Батьківщина""",Тернопільська область,Підволочиська районна організація,25782110,"47800, Тернопільська обл., Підволочиський район, селище міського типу Підволочиськ, ВУЛ.ШЕВЧЕНКА, будинок 18","47800, Тернопільська обл., Підволочиський район, селище міського типу Підволочиськ, ВУЛ.ШЕВЧЕНКА, будинок 18",—
,"Всеукраїнське об'єднання ""Батьківщина""",Тернопільська область,Підгаєцька районна організація,25886849,"48000, Тернопільська обл., м. Підгайці, вул. Сонячна, 3","48000, Тернопільська обл., м. Підгайці, вул. Сонячна, 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Піщанська районна організація,25962191,"24700, Вінницька обл., Піщанський район, селище міського типу Піщанка, вул. Горького, будинок 15, квартира 2","24700, Вінницька обл., Піщанський район, селище міського типу Піщанка, вул. Горького, будинок 15, квартира 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Погребищенська районна організація,36244203,"22200, Вінницька обл., Погребищенський район, місто Погребище, ВУЛИЦЯ ШЕВЧЕНКА, будинок 92","22200, Вінницька обл., Погребищенський район, місто Погребище, ВУЛИЦЯ ШЕВЧЕНКА, будинок 92",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київ,Подільська районна організація,21715393,"04070, м.Київ, ВУЛИЦЯ ЯРОСЛАВСЬКА, будинок 47","04070, м.Київ, ВУЛИЦЯ ЯРОСЛАВСЬКА, будинок 47",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Покровська міська організація,25841692,"53300, Дніпропетровська обл., місто Покров, ВУЛИЦЯ ГЕРОЇВ УКРАЇНИ, будинок 14","53300, Дніпропетровська обл., місто Покров, ВУЛИЦЯ ГЕРОЇВ УКРАЇНИ, будинок 14","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26002050274326"
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Покровська районна організація,25841746,"53600, Дніпропетровська обл., Покровський район, селище міського типу Покровське, ВУЛИЦЯ 40 РОКІВ ЖОВТНЯ, будинок 22","53600, Дніпропетровська обл., Покровський район, селище міського типу Покровське, ВУЛИЦЯ 40 РОКІВ ЖОВТНЯ, будинок 22",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Покровська районна у м. Кривий Ріг організація,33759750,"50015, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ КОНСТИТУЦІЙНА, будинок 15","50015, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ КОНСТИТУЦІЙНА, будинок 15","ПАТ КБ ""ПриватБанк"", Криворізька філія, МФО 305750, р/р 26001053515374"
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Поліська районна організація,34248028,"07053, Київська обл., Поліський район, селище міського типу Красятичі, ВУЛИЦЯ ЖОВТНЕВА, будинок 74","07053, Київська обл., Поліський район, селище міського типу Красятичі, ВУЛИЦЯ ЖОВТНЕВА, будинок 74",—
,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька область,Полонська районна організація,25834901,"30500, Хмельницька обл., Полонський район, місто Полонне, ВУЛИЦЯ ЛЕСІ УКРАЇНКИ, будинок 113, корпус Б","30500, Хмельницька обл., Полонський район, місто Полонне, ВУЛИЦЯ ЛЕСІ УКРАЇНКИ, будинок 113, корпус Б","ПАТ КБ ""Приватбанк"", МФО 315405, р/р 26004052300441"
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Полтавська міська організація,25867697,"36014, Полтавська обл., місто Полтава, ВУЛИЦЯ ЖОВТНЕВА, будинок 72, офіс 306","36014, Полтавська обл., місто Полтава, ВУЛИЦЯ ЖОВТНЕВА, будинок 72, офіс 306",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Полтавська обласна організація,25784681,"36000, Полтавська обл., місто Полтава, ВУЛИЦЯ КОНСТИТУЦІЇ, будинок 11, офіс 2","36000, Полтавська обл., місто Полтава, ВУЛИЦЯ КОНСТИТУЦІЇ, будинок 11, офіс 2","ПАТ КБ ""Приватбанк"" МФО 331401, ЗКПО 25784681 р/р 26002300724001"
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Полтавська районна організація,25913322,"38751, Полтавська обл., Полтавський район, село Розсошенці, ВУЛИЦЯ КОЦЮБИНСЬКОГО, будинок 10 А","38751, Полтавська обл., Полтавський район, село Розсошенці, ВУЛИЦЯ КОЦЮБИНСЬКОГО, будинок 10 А",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Попільнянська районна організація,33864810,"13501, Житомирська обл., Попільнянський район, селище міського типу Попільня, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 29","13501, Житомирська обл., Попільнянський район, селище міського типу Попільня, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 29","АТ ""Райффайзен Банк АВАЛЬ"" Попільнянське відділення МФО 380805 ЄДРПОУ 14305909 р/р №26009543306"
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Правобережна районна організація,25962088,"21050, Вінницька обл., місто Вінниця, ВУЛИЦЯ СОБОРНА, будинок 72, офіс 209","21050, Вінницька обл., місто Вінниця, ВУЛИЦЯ СОБОРНА, будинок 72, офіс 209",—
,"Всеукраїнське об'єднання ""Батьківщина""",Черкаська область,Придніпровська районна організація,40860122,"18000, черкаська обл., місто Черкаси, ВУЛИЦЯ СМІЛЯНСЬКА, будинок 23, офіс 35","18000, черкаська обл., місто Черкаси, ВУЛИЦЯ СМІЛЯНСЬКА, будинок 23, офіс 35","ПАТ КБ ""ПРИВАТБАНК"" код ЄДРПОУ 40860122, номер рахунку 26003051530657"
,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська область,Прилуцька міська організація,25901230,"17500, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КИЇВСЬКА, будинок 313, корпус 3","17500, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КИЇВСЬКА, будинок 313, корпус 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська область,Прилуцька районна організація,25955384,"17500, Чернігівська обл., Прилуцький район, м. Прилуки, вул. Київська, 313, корпус 3","17500, Чернігівська обл., Прилуцький район, м. Прилуки, вул. Київська, 313, корпус 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Пулинська районна організація,33621945,"12000, Житомирська обл., Пулинський район, селище міського типу Пулини, ВУЛИЦЯ НЕБЕСНОЇ СОТНІ, будинок 10","12000, Житомирська обл., Пулинський район, селище міського типу Пулини, ВУЛИЦЯ НЕБЕСНОЇ СОТНІ, будинок 10",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Пустомитівська районна організація,25253883,"81100, Львівська обл., Пустомитівський район, місто Пустомити, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 11","81100, Львівська обл., Пустомитівський район, місто Пустомити, вул.Грушевського, буд.11",—
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Путивльська районна організація,24016230,"41500, Сумська обл., Путивльський район, місто Путивль, ВУЛИЦЯ КІРОВА, будинок 95, кімната 207","41500, Сумська обл., Путивльський район, місто Путивль, вул. Гузеєва, будинок 28","ПАТ КБ ""Приватбанк"", МФО 337546, р/р 26004055024112"
,"Всеукраїнське об'єднання ""Батьківщина""",Чернівецька область,Путильська районна організація,26034491,"59100, Чернівецька обл., Путильський район, селище міського типу Путила, ВУЛИЦЯ УКРАЇНСЬКА, будинок 210","59100, Чернівецька обл., Путильський район, селище міського типу Путила, ВУЛИЦЯ УКРАЇНСЬКА, будинок 158А",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Радехівська районна організація,25259791,"80200, Львівська обл., Радехівський район, місто Радехів, ВУЛИЦЯ ЛЬВІВСЬКА, будинок 29","80200, Львівська обл., Радехівський район, місто Радехів, ВУЛИЦЯ ЛЬВІВСЬКА, будинок 29",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Радивилівська районна організація,25930332,"35500, Рівненська обл., Радивилівський район, місто Радивилів, ВУЛИЦЯ ПАРКОВА, будинок 3","35500, Рівненська обл., Радивилівський район, місто Радивилів, ВУЛИЦЯ ПАРКОВА, будинок 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Радомишльська районна організація,26061737,"12201, Житомирська обл., Радомишльський район, місто Радомишль, вул. Соборний майдан, будинок 2/4","12201, Житомирська обл., Радомишльський район, місто Радомишль, вул. Соборний майдан, будинок 2/4",—
,"Всеукраїнське об'єднання ""Батьківщина""",Волинська область,Ратнівська районна організація,25816276,"44100, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 42","44100, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 42",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Ренійська районна організація,26134809,"68800, Одеська обл., Ренійський район, місто Рені, ВУЛИЦЯ 28 ЧЕРВНЯ, будинок 134","68800, Одеська обл., Ренійський район, місто Рені, ВУЛИЦЯ 28 ЧЕРВНЯ, будинок 134",—
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Решетилівська районна організація,25913144,"38400, Полтавська обл., Решетилівський р-н, смт Решетилівка, вул Леніна, буд. 19","38400, Полтавська обл., Решетилівський р-н, смт Решетилівка, вул Леніна, буд. 19",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Ржищівська міська організація,35486707,"09230, Київська обл., місто Ржищів, вул. Леніна, будинок 29","09230, Київська обл., місто Ржищів, вул. Леніна, будинок 29",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Рівненська міська організація,25930384,"33028, Рівненська обл., місто Рівне, ВУЛИЦЯ СИМОНА ПЕТЛЮРИ, будинок 1","33028, Рівненська обл., місто Рівне, ВУЛИЦЯ СИМОНА ПЕТЛЮРИ, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Рівненська обласна організація,25797672,"33003, Рівненська обл., місто Рівне, ВУЛИЦЯ СИМОНА ПЕТЛЮРИ, будинок 1","33003, Рівненська обл., місто Рівне, ВУЛИЦЯ СИМОНА ПЕТЛЮРИ, будинок 1","Рівненське ОУ АТ Ощадбанк м. Рівне, МФО 333368, № 26004301975917"
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Рівненська районна організація,25930585,"33001, м.Рівне, вул.П.Могили, 22б, кб.81","33001, м.Рівне, вул.П.Могили, 22б, кб.81","ПАТ КБ ""Приватбанк"", МФО 333391, р/р 26004054715319"
,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська область,Ріпкинська районна організація,25851348,"15000, Чернігівська обл., Ріпкинський район, селище міського типу Ріпки, ВУЛИЦЯ ЛЮБЕЦЬКА, будинок 5","15000, Чернігівська обл., Ріпкинський район, селище міського типу Ріпки, ВУЛИЦЯ ЛЮБЕЦЬКА, будинок 5",—
,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська область,Рогатинська районна організація,33958902,"77000, Івано-Франківська обл., Рогатинський район, місто Рогатин, вул. Франка, будинок 1","77000, Івано-Франківська обл., Рогатинський район, місто Рогатин, вул. Франка, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Волинська область,Рожищенська районна організація,25909970,"45100, Волинська обл., Рожищенський район, місто Рожище, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 82","45100, Волинська обл., Рожищенський район, місто Рожище, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 82","ПАТ КБ ПРИВАТБАНК Волинська область (МФО 303440), р/р 26006055512381"
,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська область,Рожнятівська районна організація,33484074,"77600, Івано-Франківська обл., Рожнятівський район, смт Рожнятів, вул. Пушкіна, будинок 2","77600, Івано-Франківська обл., Рожнятівський район, смт Рожнятів, вул. Пушкіна, будинок 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Роздільнянська районна організація,40401960,"67400, Одеська обл., Роздільнянський район, місто Роздільна, ЄВРОПЕЙСЬКА, будинок 40","67400, Одеська обл., Роздільнянський район, місто Роздільна, ЄВРОПЕЙСЬКА, будинок 40",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Рокитнівська районна організація,25930579,"34200, Рівненська область Рокитнівський р-н смт. Рокитне вул.Незалежності, буд. 5А.","34200, Рівненська область Рокитнівський р-н смт. Рокитне вул.Незалежності, буд. 5А.",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Рокитнянська районна організація,26078651,"09600, Київська обл., Рокитнянський район, селище міського типу Рокитне, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 68,","09600, Київська обл., Рокитнянський район, селище міського типу Рокитне, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 68,","ПАТ КБ ""Приватбанк"" (ЄДРПО 26078651, код банку 321842) Рахунок: № 26009053160853"
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Романівська районна організація,33868526,"13002, Житомирська обл., Романівський район, селище міського типу Романів, ВУЛИЦЯ 50 РОКІВ ЖОВТНЯ, будинок 8, квартира 6","13002, Житомирська обл., Романівський район, селище міського типу Романів, вул. Небесної сотні, будинок 102",—
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Роменська міська організація,24015986,"42000, Сумська обл., місто Ромни, БУЛЬВ. ШЕВЧЕНКА, будинок 7","42000, Сумська обл., місто Ромни, БУЛЬВ. ШЕВЧЕНКА, будинок 6","ПАТ КБ ""Приватбанк"" МФО 337546, р/р 26002055023018"
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Роменська районна організація,35187129,"42000, Сумська обл., місто Ромни, БУЛЬВАР ШЕВЧЕНКА, будинок 7","42000, Сумська обл., місто Ромни, БУЛЬВАР ШЕВЧЕНКА, будинок 7",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Ружинська районна організація,25924290,"13600, Житомирська обл., Ружинський район, селище міського типу Ружин, ВУЛИЦЯ Стадіонна, будинок 1, корпус А","13600, Житомирська обл., Ружинський район, селище міського типу Ружин, ВУЛИЦЯ Стадіонна, будинок 1, корпус А",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Савранська районна організація,26249458,"66200, Одеська обл., Савранський район, селище міського типу Саврань, ВУЛ. КАЛІНІНА, будинок 3","66200, Одеська обл., Савранський район, селище міського типу Саврань, ВУЛ. КАЛІНІНА, будинок 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Чернівецька область,Садгірська районна організація,21445396,"58000, Чернівецька обл., місто Чернівці, ВУЛ. ГОЛОВНА, будинок 22","58000, Чернівецька обл., місто Чернівці, вул. Юнацька, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Саксаганська районна організація,25956780,"50027, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ РЯЗАНОВА, будинок 11, приміщення 56","50027, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ РЯЗАНОВА, будинок 11, приміщення 56","ПАТ КБ ""ПриватБанк"", Криворізька філія, МФО 305750, р/р 26000053514525"
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Самарська районна організація,25841456,"49005, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 16","49005, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 16","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26003050276969"
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Самбірська міська організація,33865132,"81400, Львівська обл., місто Самбір, ВУЛИЦЯ ІВ.ФРАНКА, будинок 6, квартира 8","81400, Львівська обл., місто Самбір, ВУЛИЦЯ ІВ.ФРАНКА, будинок 6, квартира 8",—
,"Всеукраїнське об'єднання ""Батьківщина""",Львівська область,Самбірська районна організація,33408061,"81400, Львівська область, м.Самбір вул.Валова 28/25а","81400, Львівська область, м.Самбір вул.Валова 28/25а",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Саратська районна організація,26109680,"68200, Одеська обл., Саратський район, селище міського типу Сарата, ВУЛИЦЯ КРІСТІАНА ВЕРНЕРА, будинок 96","68200, Одеська обл., Саратський район, селище міського типу Сарата, ВУЛИЦЯ КРІСТІАНА ВЕРНЕРА, будинок 96",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Сарненська районна організація,25930355,"34500, Рівненська обл., Сарненський р-н, м.Сарни, вул.Демократична, 34","34500, Рівненська обл., Сарненський р-н, м.Сарни, вул.Демократична, 34","Рівненське ОУ АТ Ощадбанк, МФО 333368, № 260063012594"
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Сахновщинська районна організація,25857196,"64501, Харківська обл., Сахновщинський район, селище міського типу Сахновщина, ВУЛИЦЯ КАРЛА МАРКСА, будинок 6","64501, Харківська обл., Сахновщинський район, селище міського типу Сахновщина, вул. Чабанівського, будинок 6",—
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Світловодська міська організація,23234284,"27500, Кіровоградська обл., місто Світловодськ, ВУЛИЦЯ ЛЕНІНА, будинок 49, квартира 8","27500, Кіровоградська обл., місто Світловодськ, ВУЛИЦЯ ЛЕНІНА, будинок 96, оф.41",—
,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська область,Світловодська районна організація,23234344,"27500, Кіровоградська обл., місто Світловодськ, ВУЛИЦЯ ГАГАРІНА, будинок 15, квартира 5","27500, Кіровоградська обл., місто Світловодськ, вул. Героїв України, буд. 96",—
