Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Column
невідомо,поточний рахунок,2111270,0,"Всеукраїнське об'єднання ""Батьківщина""",Токмацька районна організація,25890992,Запорізька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111271,0,"Всеукраїнське об'єднання ""Батьківщина""",Володимир-Волинська міська організація,25910016,Волинська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111272,0,"Всеукраїнське об'єднання ""Батьківщина""",Горохівська районна організація,25910068,Волинська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111273,0,"Всеукраїнське об'єднання ""Батьківщина""",Іваничівська районна організація,25910051,Волинська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111274,0,"Всеукраїнське об'єднання ""Батьківщина""",Любешівська районна організація,36716987,Волинська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111275,0,"Всеукраїнське об'єднання ""Батьківщина""",Нововолинська міська організація,25788221,Волинська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111276,0,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька міська організація,25962102,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111277,0,"Всеукраїнське об'єднання ""Батьківщина""",Жмеринська міська організація,25962289,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111278,0,"Всеукраїнське об'єднання ""Батьківщина""",Козятинська міська організація,26142105,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111279,0,"Всеукраїнське об'єднання ""Батьківщина""",Ладижинська міська організація,26142080,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111280,0,"Всеукраїнське об'єднання ""Батьківщина""",Могилів-Подільська міська організація,34893251,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111281,0,"Всеукраїнське об'єднання ""Батьківщина""",Хмільницька міська організація,36575258,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111282,0,"Всеукраїнське об'єднання ""Батьківщина""",Барська районна організація,25962071,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111283,0,"Всеукраїнське об'єднання ""Батьківщина""",Бершадська районна організація,26012236,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111284,0,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька районна організація,25962119,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111285,0,"Всеукраїнське об'єднання ""Батьківщина""",Гайсинська районна організація,25962256,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111286,0,"Всеукраїнське об'єднання ""Батьківщина""",Жмеринська районна організація,25512623,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111287,0,"Всеукраїнське об'єднання ""Батьківщина""",Замостянська районна організація,25962094,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111288,0,"Всеукраїнське об'єднання ""Батьківщина""",Іллінецька районна організація,26142097,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111289,0,"Всеукраїнське об'єднання ""Батьківщина""",Калинівська районна організація,25512304,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111290,0,"Всеукраїнське об'єднання ""Батьківщина""",Козятинська районна організація,25962243,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111291,0,"Всеукраїнське об'єднання ""Батьківщина""",Крижопільська районна організація,25962148,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111292,0,"Всеукраїнське об'єднання ""Батьківщина""",Липовецька районна організація,25962384,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111293,0,"Всеукраїнське об'єднання ""Батьківщина""",Літинська районна організація,25845810,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111294,0,"Всеукраїнське об'єднання ""Батьківщина""",Мурованокуриловецька районна організація,25962160,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111295,0,"Всеукраїнське об'єднання ""Батьківщина""",Немирівська районна організація,25962177,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111296,0,"Всеукраїнське об'єднання ""Батьківщина""",Піщанська районна організація,25962191,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111297,0,"Всеукраїнське об'єднання ""Батьківщина""",Правобережна районна організація,25962088,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111298,0,"Всеукраїнське об'єднання ""Батьківщина""",Староміська районна організація,25918667,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111299,0,"Всеукраїнське об'єднання ""Батьківщина""",Теплицька районна організація,25962214,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111300,0,"Всеукраїнське об'єднання ""Батьківщина""",Тиврівська районна організація,25962220,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111301,0,"Всеукраїнське об'єднання ""Батьківщина""",Томашпільська районна організація,25962266,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111302,0,"Всеукраїнське об'єднання ""Батьківщина""",Тростянецька районна організація,25962237,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111303,0,"Всеукраїнське об'єднання ""Батьківщина""",Тульчинська районна організація,25962131,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111304,0,"Всеукраїнське об'єднання ""Батьківщина""",Хмільницька районна організація,36575263,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111305,0,"Всеукраїнське об'єднання ""Батьківщина""",Чечельницька районна організація,25888357,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111306,0,"Всеукраїнське об'єднання ""Батьківщина""",Ямпільська районна організація,26076087,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111307,0,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська міська організація,33975053,Житомирська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111308,0,"Всеукраїнське об'єднання ""Батьківщина""",Богородчанська районна організація,33909090,Івано-Франківська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111309,0,"Всеукраїнське об'єднання ""Батьківщина""",Бурштинська міська організація,39845944,Івано-Франківська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111310,0,"Всеукраїнське об'єднання ""Батьківщина""",Тисменицька районна організація,33914032,Івано-Франківська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111311,0,"Всеукраїнське об'єднання ""Батьківщина""",Гніванська міська організація,37058480,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111312,0,"Всеукраїнське об'єднання ""Батьківщина""",Баштанська районна організація,26029509,Миколаївська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111313,0,"Всеукраїнське об'єднання ""Батьківщина""",Бережанська районна організація,25782162,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111314,0,"Всеукраїнське об'єднання ""Батьківщина""",Березнівська районна організація,25930786,Рівненська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111315,0,"Всеукраїнське об'єднання ""Батьківщина""",Білгород-Дністровська міська організація,26133916,Одеська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111316,0,"Всеукраїнське об'єднання ""Батьківщина""",Волочиська районна організація,25889569,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111317,0,"Всеукраїнське об'єднання ""Батьківщина""",Гадяцька районна організація,25913291,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111318,0,"Всеукраїнське об'єднання ""Батьківщина""",Глобинська районна організація,25913316,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111319,0,"Всеукраїнське об'єднання ""Батьківщина""",Городнянська районна організація,25851874,Чернігівська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111320,0,"Всеукраїнське об'єднання ""Батьківщина""",Гощанська районна організація,25930556,Рівненська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111321,0,"Всеукраїнське об'єднання ""Батьківщина""",Гребінківська районна організація,25941887,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111322,0,"Всеукраїнське об'єднання ""Батьківщина""",Гусятинська районна організація,25782104,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111323,0,"Всеукраїнське об'єднання ""Батьківщина""",Деражнянська районна організація,33809235,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111324,0,"Всеукраїнське об'єднання ""Батьківщина""",Диканська районна організація,25913204,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111325,0,"Всеукраїнське об'єднання ""Батьківщина""",Заліщицька районна організація,25782073,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111326,0,"Всеукраїнське об'єднання ""Батьківщина""",Зарічненська районна організація,25930800,Рівненська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111327,0,"Всеукраїнське об'єднання ""Батьківщина""",Збаразька районна організація,26024423,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111328,0,"Всеукраїнське об'єднання ""Батьківщина""",Зборівська районна організація,25934904,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111329,0,"Всеукраїнське об'єднання ""Батьківщина""",Звенигородська районна організація,25947901,Черкаська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111330,0,"Всеукраїнське об'єднання ""Батьківщина""",Павлоградська районна організація,26050587,Дніпропетровська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111331,0,"Всеукраїнське об'єднання ""Батьківщина""",Тернівська районна організація,25840764,Дніпропетровська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111332,0,"Всеукраїнське об'єднання ""Батьківщина""",Чечелівська районна організація,25841433,Дніпропетровська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111333,0,"Всеукраїнське об'єднання ""Батьківщина""",Томаківська районна організація,25927078,Дніпропетровська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111334,0,"Всеукраїнське об'єднання ""Батьківщина""",Криничанська районна організація,25841462,Дніпропетровська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111335,0,"Всеукраїнське об'єднання ""Батьківщина""",Покровська міська організація,25841692,Дніпропетровська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111336,0,"Всеукраїнське об'єднання ""Батьківщина""",Широківська районна організація,25841410,Дніпропетровська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111337,0,"Всеукраїнське об'єднання ""Батьківщина""",Запорізька обласна організація,25766789,Запорізька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111338,0,"Всеукраїнське об'єднання ""Батьківщина""",Мелітопольська районна організація,33704544,Запорізька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111339,0,"Всеукраїнське об'єднання ""Батьківщина""",Новомиколаївська районна організація,25891253,Запорізька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111340,0,"Всеукраїнське об'єднання ""Батьківщина""",Зіньківська міська організація,37263054,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111341,0,"Всеукраїнське об'єднання ""Батьківщина""",Зіньківська районна організація,25913115,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111342,0,"Всеукраїнське об'єднання ""Батьківщина""",Знам'янська міська організація,23234315,Кіровоградська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111343,0,"Всеукраїнське об'єднання ""Батьківщина""",Ічнянська районна організація,25786912,Чернігівська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111344,0,"Всеукраїнське об'єднання ""Батьківщина""",Катеринопільська районна організація,26096782,Черкаська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111345,0,"Всеукраїнське об'єднання ""Батьківщина""",Кобеляцька районна організація,25913049,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111346,0,"Всеукраїнське об'єднання ""Батьківщина""",Козельщинська районна організація,25913345,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111347,0,"Всеукраїнське об'єднання ""Батьківщина""",Корецька районна організація,25930272,Рівненська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111348,0,"Всеукраїнське об'єднання ""Батьківщина""",Котелевська районна організація,37127213,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111349,0,"Всеукраїнське об'єднання ""Батьківщина""",Краматорська міська організація,25893826,Донецька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111350,0,"Всеукраїнське об'єднання ""Батьківщина""",Красилівська районна організація,34025908,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111351,0,"Всеукраїнське об'єднання ""Батьківщина""",Кременчуцька районна організація,25913003,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111352,0,"Всеукраїнське об'єднання ""Батьківщина""",Лебединська районна організація,37345571,Сумська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111353,0,"Всеукраїнське об'єднання ""Батьківщина""",Лубенська міська організація,25913279,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111354,0,"Всеукраїнське об'єднання ""Батьківщина""",Лубенська районна організація,25913078,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111355,0,"Всеукраїнське об'єднання ""Батьківщина""",Любарська районна організація,33518684,Житомирська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111356,0,"Всеукраїнське об'єднання ""Батьківщина""",Знам'янська районна організація,23234373,Кіровоградська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111357,0,"Всеукраїнське об'єднання ""Батьківщина""",Миргородська міська організація,25913055,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111358,0,"Всеукраїнське об'єднання ""Батьківщина""",Миргородська районна організація,25913256,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111359,0,"Всеукраїнське об'єднання ""Батьківщина""",Могилів-Подільська районна організація,35711789,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111360,0,"Всеукраїнське об'єднання ""Батьківщина""",Монастириська районна організація,25782392,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111361,0,"Всеукраїнське об'єднання ""Батьківщина""",Мукачівська міська організація,37173228,Закарпатська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111362,0,"Всеукраїнське об'єднання ""Батьківщина""",Народицька районна організація,33960361,Житомирська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111363,0,"Всеукраїнське об'єднання ""Батьківщина""",Немишлянська районна організація,25857061,Харківська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111364,0,"Всеукраїнське об'єднання ""Батьківщина""",Новгород-Сіверська районна організація,25786007,Чернігівська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111365,0,"Всеукраїнське об'єднання ""Батьківщина""",Новобаварська районна організація,25857782,Харківська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111366,0,"Всеукраїнське об'єднання ""Батьківщина""",Новобузька районна організація,26029432,Миколаївська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111367,0,"Всеукраїнське об'єднання ""Батьківщина""",Новосанжарська районна організація,25913173,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111368,0,"Всеукраїнське об'єднання ""Батьківщина""",Носівська районна організація,25622470,Чернігівська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111369,0,"Всеукраїнське об'єднання ""Батьківщина""",Октябрьська районна організація,25913167,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111370,0,"Всеукраїнське об'єднання ""Батьківщина""",Оратівська районна організація,36684877,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111372,0,"Всеукраїнське об'єднання ""Батьківщина""",Очаківська міська організація,33964261,Миколаївська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111373,0,"Всеукраїнське об'єднання ""Батьківщина""",Пирятинська районна організація,25913084,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111374,0,"Всеукраїнське об'єднання ""Батьківщина""",Підволочиська районна організація,25782110,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111375,0,"Всеукраїнське об'єднання ""Батьківщина""",Підгаєцька районна організація,25886849,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111376,0,"Всеукраїнське об'єднання ""Батьківщина""",Погребищенська районна організація,36244203,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111377,0,"Всеукраїнське об'єднання ""Батьківщина""",Подільська міська організація,26133856,Одеська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111378,0,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська міська організація,25867697,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111379,0,"Всеукраїнське об'єднання ""Батьківщина""",Прилуцька міська організація,25901230,Чернігівська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111380,0,"Всеукраїнське об'єднання ""Батьківщина""",Прилуцька районна організація,25955384,Чернігівська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111381,0,"Всеукраїнське об'єднання ""Батьківщина""",Радивилівська районна організація,25930332,Рівненська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111382,0,"Всеукраїнське об'єднання ""Батьківщина""",Радомишльська районна організація,26061737,Житомирська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111383,0,"Всеукраїнське об'єднання ""Батьківщина""",Решетилівська районна організація,25913144,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111384,0,"Всеукраїнське об'єднання ""Батьківщина""",Рокитнівська районна організація,25930579,Рівненська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111385,0,"Всеукраїнське об'єднання ""Батьківщина""",Романівська районна організація,33868526,Житомирська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111386,0,"Всеукраїнське об'єднання ""Батьківщина""",Роменська міська організація,24015986,Сумська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111387,0,"Всеукраїнське об'єднання ""Батьківщина""",Cередино-Будська районна організація,24015928,Сумська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111388,0,"Всеукраїнське об'єднання ""Батьківщина""",Славутська міська організація,25834887,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111389,0,"Всеукраїнське об'єднання ""Батьківщина""",Славутська районна організація,25889581,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111390,0,"Всеукраїнське об'єднання ""Батьківщина""",Слобідська районна організація,25857185,Харківська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111391,0,"Всеукраїнське об'єднання ""Батьківщина""",Снігурівська районна організація,26029202,Миколаївська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111392,0,"Всеукраїнське об'єднання ""Батьківщина""",Сосницька районна організація,25787001,Чернігівська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111393,0,"Всеукраїнське об'єднання ""Батьківщина""",Старосинявська районна організація,25921586,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111394,0,"Всеукраїнське об'єднання ""Батьківщина""",Теофіпольська районна організація,25834657,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111395,0,"Всеукраїнське об'єднання ""Батьківщина""",Теребовлянська районна організація,25782207,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111396,0,"Всеукраїнське об'єднання ""Батьківщина""",Ужгородська міська організація,35771790,Закарпатська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111397,0,"Всеукраїнське об'єднання ""Батьківщина""",Уманська міська організація,25974306,Черкаська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111398,0,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька міська організація,25879370,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111399,0,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька районна організація,25834870,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111400,0,"Всеукраїнське об'єднання ""Батьківщина""",Холодногірська районна організація,25864210,Харківська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111401,0,"Всеукраїнське об'єднання ""Батьківщина""",Хорольська районна організація,25913109,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111402,0,"Всеукраїнське об'єднання ""Батьківщина""",Черкаська районна організація,25947947,Черкаська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111403,0,"Всеукраїнське об'єднання ""Батьківщина""",Чернівецька районна організація,36834065,Вінницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111404,0,"Всеукраїнське об'єднання ""Батьківщина""",Чорнухинська районна організація,25913196,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111405,0,"Всеукраїнське об'єднання ""Батьківщина""",Чортківська районна організація,25886772,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111406,0,"Всеукраїнське об'єднання ""Батьківщина""",Чутівська районна організація,25913210,Полтавська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111407,0,"Всеукраїнське об'єднання ""Батьківщина""",Шепетівська районна організація,25889546,Хмельницька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111408,0,"Всеукраїнське об'єднання ""Батьківщина""",Шумська районна організація,32807965,Тернопільська область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111409,0,"Всеукраїнське об'єднання ""Батьківщина""",Артемівська міська організація,25894197,Донецька область,2017-06-30,2,2017,
невідомо,поточний рахунок,2111410,0,"Всеукраїнське об'єднання ""Батьківщина""",Якимівська районна організація,40595152,Запорізька область,2017-06-30,2,2017,
"ПУАТ ""Фідобанк""",поточний рахунок,26002000643903,"131,23","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,30.09.2017,3,2017,
"АБ ""Укргазбанк""",поточний рахунок,26046903289478,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,30.09.2017,3,2017,
"АБ ""Укргазбанк""",поточний рахунок,26007212001988,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,30.09.2017,3,2017,
"ПАТ ""Мегабанк""",поточний рахунок,2600426373,"11614,21","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,30.09.2017,3,2017,
"ПАТ ""Мегабанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2604826373,"9282058,52","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,30.09.2017,3,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26000011969944,"63,05","Всеукраїнське об'єднання ""Батьківщина""",Вінницька обласна організація,25511109,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111276,0,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька міська організація,25962102,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111277,0,"Всеукраїнське об'єднання ""Батьківщина""",Жмеринська міська організація,25962289,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111278,0,"Всеукраїнське об'єднання ""Батьківщина""",Козятинська міська організація,26142105,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111279,0,"Всеукраїнське об'єднання ""Батьківщина""",Ладижинська міська організація,26142080,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111280,0,"Всеукраїнське об'єднання ""Батьківщина""",Могилів-Подільська міська організація,34893251,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111281,0,"Всеукраїнське об'єднання ""Батьківщина""",Хмільницька міська організація,36575258,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111311,0,"Всеукраїнське об'єднання ""Батьківщина""",Гніванська міська організація,37058480,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111282,0,"Всеукраїнське об'єднання ""Батьківщина""",Барська районна організація,25962071,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111283,0,"Всеукраїнське об'єднання ""Батьківщина""",Бершадська районна організація,26012236,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111284,0,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька районна організація,25962119,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111285,0,"Всеукраїнське об'єднання ""Батьківщина""",Гайсинська районна організація,25962256,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111286,0,"Всеукраїнське об'єднання ""Батьківщина""",Жмеринська районна організація,25512623,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111287,0,"Всеукраїнське об'єднання ""Батьківщина""",Замостянська районна організація,25962094,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111288,0,"Всеукраїнське об'єднання ""Батьківщина""",Іллінецька районна організація,26142097,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111289,0,"Всеукраїнське об'єднання ""Батьківщина""",Калинівська районна організація,25512304,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111290,0,"Всеукраїнське об'єднання ""Батьківщина""",Козятинська районна організація,25962243,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111291,0,"Всеукраїнське об'єднання ""Батьківщина""",Крижопільська районна організація,25962148,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111292,0,"Всеукраїнське об'єднання ""Батьківщина""",Липовецька районна організація,25962384,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111293,0,"Всеукраїнське об'єднання ""Батьківщина""",Літинська районна організація,25845810,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111359,0,"Всеукраїнське об'єднання ""Батьківщина""",Могилів-Подільська районна організація,35711789,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111294,0,"Всеукраїнське об'єднання ""Батьківщина""",Мурованокуриловецька районна організація,25962160,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111295,0,"Всеукраїнське об'єднання ""Батьківщина""",Немирівська районна організація,25962177,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111370,0,"Всеукраїнське об'єднання ""Батьківщина""",Оратівська районна організація,36684877,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111296,0,"Всеукраїнське об'єднання ""Батьківщина""",Піщанська районна організація,25962191,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111376,0,"Всеукраїнське об'єднання ""Батьківщина""",Погребищенська районна організація,36244203,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111297,0,"Всеукраїнське об'єднання ""Батьківщина""",Правобережна районна організація,25962088,Вінницька область,30.09.2017,3,2017,
невідомо,поточний рахунок,2111298,0,"Всеукраїнське об'єднання ""Батьківщина""",Староміська районна організація,25918667,Вінницька область,30.09.2017,3,2017,
